name_norm,latitude,longitude,country,is_city,is_main_station,is_airport
Napoli Capodichino Aeroporto,40.860567,14.2529902,Italie,FAUX,FAUX,VRAI
Trieste Aeroporto,45.827281,13.4704869,Italie,FAUX,FAUX,VRAI
Venezia Aeroporto Marco Polo,45.5053640124156,12.3390774644898,Italie,FAUX,FAUX,VRAI
Milano Linate Aeroporto,45.461278,9.278806,Italie,FAUX,FAUX,VRAI
Bari Aeroporto,41.1389008,16.7605991,Italie,FAUX,FAUX,VRAI
Treviso Aeroporto,45.65510900701,12.2045021751079,Italie,FAUX,FAUX,VRAI
Praha Airport (Vaclav Havel),50.1063864,14.2687786,République Tchèque,FAUX,FAUX,VRAI
Krakow Airport (John Paul II),50.071778,19.800947,Pologne,FAUX,FAUX,VRAI
Eindhoven Airport,51.4571159,5.3908055,Pays-Bas,FAUX,FAUX,VRAI
Aeroporto de Lisboa Humberto Delgado,38.7693277,-9.128510400000035,Portugal,FAUX,FAUX,VRAI
Bologna Airport,44.529283,11.294653,Italie,FAUX,FAUX,VRAI
Palermo Aeroporto (Fermata autobus),38.18727011565633,13.10700461268425,Italie,FAUX,FAUX,VRAI
Porto Airport,41.23390910000001,-8.67021590000002,Portugal,FAUX,FAUX,VRAI
Funchal Madeira Airport,32.693171,-16.775314,Portugal,FAUX,FAUX,VRAI
Warszawa Modlin,52.44587785229154,20.65070807933807,Pologne,FAUX,FAUX,VRAI
Warszawa Chopin,52.169192,20.973514,Pologne,FAUX,FAUX,VRAI
Madrid Barajas,40.4650078,-3.57069739999997,Espagne,FAUX,FAUX,VRAI
Barcelona El Prat,41.29581689776558,2.07490257918835,Espagne,FAUX,FAUX,VRAI
Dublin Airport,53.42801115,-6.240388650000005,Irlande,FAUX,FAUX,VRAI
Zagreb Airport,45.741,16.081,Croatie,FAUX,FAUX,VRAI
Budapest Airport,47.4329065837921,19.2617931962013,Hongrie,FAUX,FAUX,VRAI
Beograd Airport,44.8199,20.2907,Serbie,FAUX,FAUX,VRAI
Verona Aeroporto,45.403,10.9082,Italie,FAUX,FAUX,VRAI
Turin Cuneo Airport,44.5476,7.61837,Italie,FAUX,FAUX,VRAI
Salzburg Airport,47.7924841,12.9955638,Autriche,FAUX,FAUX,VRAI
Ljubljana Airport,46.2308784250067,14.4558995962143,Slovénie,FAUX,FAUX,VRAI
Aeroport de Nice,43.660998,7.202424,France,FAUX,FAUX,VRAI
Munchen Flughafen Terminal Area A/B,48.3574,11.7841,Allemagne,FAUX,FAUX,VRAI
Munchen Flughafen Terminal 1 Area D/E,48.351868,11.785364,Allemagne,FAUX,FAUX,VRAI
Munchen Flughafen,48.351868,11.785364,Allemagne,FAUX,FAUX,VRAI
Brindisi Aeroporto,40.6582137,17.9361081,Italie,FAUX,FAUX,VRAI
Wroclaw Airport,51.1041654,16.8809331,Pologne,FAUX,FAUX,VRAI
Weeze Airport,51.59388,6.16098999999997,Allemagne,FAUX,FAUX,VRAI
Osijek Airport,45.4662906,18.8073941,Croatie,FAUX,FAUX,VRAI
Valladolid Aeropuerto,41.7051,-4.8547,Espagne,FAUX,FAUX,VRAI
Catania Aeroporto Fontanarossa,37.475735,15.061795,Italie,FAUX,FAUX,VRAI
Perugia Aeroporto,43.09522,12.5024,Italie,FAUX,FAUX,VRAI
Malta Airport,35.8558101,14.4868944,Malte,FAUX,FAUX,VRAI
Gioia Del Colle Aeroporto,40.779981,16.935081,Italie,FAUX,FAUX,VRAI
Valencia Airport,39.491642,-0.47329,Espagne,FAUX,FAUX,VRAI
Vilnius Airport,54.638037,25.286558,Littuanie,FAUX,FAUX,VRAI
Bordeaux Airport,44.830227,-0.700843,France,FAUX,FAUX,VRAI
Cork Airport,51.8489731525078,-8.48902381340349,Irlande,FAUX,FAUX,VRAI
Carcassonne Airport,43.215751,2.306171,France,FAUX,FAUX,VRAI
Foggia Airport,41.43391,15.5358782,Italie,FAUX,FAUX,VRAI
Szczecin Airport,53.610785,14.911664,Pologne,FAUX,FAUX,VRAI
Montpellier Airport,43.5770494713834,3.9559898476324,France,FAUX,FAUX,VRAI
Menorca Airport,39.8654253,4.2264212,Espagne,FAUX,FAUX,VRAI
Bucharest Henri Coanda Airport,44.570516,26.084533,Roumanie,FAUX,FAUX,VRAI
Tirana Airport,41.4182181868454,19.7138714790344,Albanie,FAUX,FAUX,VRAI
Copenhagen Airport,55.631365,12.656061,Danemark,FAUX,FAUX,VRAI
Toulouse Airport,43.6301436137076,1.37545798711631,France,FAUX,FAUX,VRAI
