DATAFLOW,LAST UPDATE,freq,unit,seat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,1998,4.300,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,1999,4.300,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2000,2,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2001,3.800,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2002,3,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2003,3,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2004,3,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2005,3,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2006,4,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2007,4,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2008,4,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2009,4,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2010,4,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2011,4,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2012,4,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2013,3,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2014,3,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2015,6,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2016,5,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2017,5,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2018,5,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2019,5,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2020,5,b
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2021,5,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,République-Tchèque,2022,4,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Allemagne,1993,41,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Allemagne,1994,39,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Allemagne,1997,32,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Allemagne,1998,25.840,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Allemagne,1999,26.030,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Allemagne,2000,24.120,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Danemark,1997,24.449,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Danemark,1998,24.916,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Danemark,2013,0,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Danemark,2014,0,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Danemark,2015,0,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Danemark,2016,0,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Danemark,2017,0,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Danemark,2018,0,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Danemark,2019,0,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Danemark,2020,0,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Danemark,2021,0,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Danemark,2022,0,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,1998,3.545,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,1999,1.300,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,2000,1.300,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,2001,3.200,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,2002,1.100,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,2003,2.500,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,2004,1.140,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,2005,1.140,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,2006,1.100,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,2007,1,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,2008,1.100,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,2009,0.900,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,2010,0.946,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,2011,0.950,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,2012,1.800,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,2013,3.200,
ESTAT:RAIL_EQ_PA_CSB(1.0),25/10/23 23:00:00,A,THS,Couchettes,Estonie,2014,3.500,
